x,y,z
0,0,0
-2,0,1
-1.99,0,1.015
-1.98,0,1.03
-1.97,0,1.045
-1.96,0,1.061
-1.95,0,1.077
-1.94,0,1.094
-1.93,0,1.111
-1.92,0,1.128
-1.91,0,1.146
-1.9,0,1.165
-1.89,0,1.184
-1.88,0,1.204
-1.87,0,1.204
-1.86,0,1.214
-1.85,0,1.224
-1.84,0,1.245
-1.83,0,1.267
-1.82,0,1.29
-1.81,0,1.313
-1.8,0,1.337
-1.79,0,1.362
-1.78,0,1.389
-1.77,0,1.416
-1.76,-0.01,1.444
-1.76,0,1.473
-1.76,0.01,1.504
-1.75,-0.01,1.536
-1.75,0,1.57
-1.75,0.01,1.605
-1.74,0,1.642
-1.73,0,1.681
-1.72,0,1.723
-1.71,0,1.744
-1.7,0,1.766
-1.69,0,1.766
-1.68,0,1.812
-1.67,0,1.813
-1.66,0,1.813
-1.65,0,1.812
-1.64,0,1.836
-1.63,0,1.837
-1.62,0,1.837
-1.61,0,1.836
-1.6,0,1.86
-1.59,0,1.861
-1.58,0,1.862
-1.57,0,1.862
-1.56,0,1.861
-1.55,0,1.86
-1.54,0,1.887
-1.53,0,1.888
-1.52,0,1.888
-1.51,0,1.888
-1.5,0,1.887
-1.49,0,1.912
-1.48,0,1.914
-1.47,0,1.915
-1.46,0,1.915
-1.45,0,1.914
-1.44,0,1.912
-1.43,0,1.94
-1.42,0,1.942
-1.41,0,1.943
-1.4,0,1.943
-1.39,-0.01,1.942
-1.39,0,1.94
-1.39,0.01,1.969
-1.38,-0.01,1.97
-1.38,0,1.971
-1.38,0.01,1.971
-1.37,0,1.97
-1.36,-0.03,1.969
-1.36,-0.02,1.999
-1.36,-0.01,2.001
-1.36,0,2.001
-1.36,0.01,2.001
-1.36,0.02,1.999
-1.36,0.03,2.029
-1.35,-0.04,2.031
-1.35,-0.03,2.032
-1.35,-0.02,2.032
-1.35,-0.01,2.031
-1.35,0,2.029
-1.35,0.01,2.064
-1.35,0.02,2.065
-1.35,0.03,2.065
-1.35,0.04,2.064
-1.34,-0.05,2.097
-1.34,-0.04,2.098
-1.34,-0.03,2.098
-1.34,-0.02,2.097
-1.34,-0.01,2.128
-1.34,0,2.133
-1.34,0.01,2.133
-1.34,0.02,2.128
-1.34,0.03,2.163
-1.34,0.04,2.166
-1.34,0.05,2.169
-1.33,-0.05,2.17
-1.33,-0.04,2.17
-1.33,-0.03,2.169
-1.33,-0.02,2.166
-1.33,-0.01,2.163
-1.33,0,2.193
-1.33,0.01,2.198
-1.33,0.02,2.203
-1.33,0.03,2.206
-1.33,0.04,2.208
-1.33,0.05,2.208
-1.32,-0.05,2.208
-1.32,-0.04,2.206
-1.32,-0.03,2.203
-1.32,-0.02,2.198
-1.32,-0.01,2.193
-1.32,0,2.207
-1.32,0.01,2.225
-1.32,0.02,2.232
-1.32,0.03,2.238
-1.32,0.04,2.243
-1.32,0.05,2.246
-1.31,-0.06,2.248
-1.31,-0.05,2.249
-1.31,-0.04,2.248
-1.31,-0.03,2.246
-1.31,-0.02,2.243
-1.31,-0.01,2.238
-1.31,0,2.232
-1.31,0.01,2.225
-1.31,0.02,2.207
-1.31,0.03,2.252
-1.31,0.04,2.266
-1.31,0.05,2.273
-1.31,0.06,2.28
-1.3,-0.05,2.285
-1.3,-0.04,2.288
-1.3,-0.03,2.29
-1.3,-0.02,2.291
-1.3,-0.01,2.29
-1.3,0,2.288
-1.3,0.01,2.285
-1.3,0.02,2.28
-1.3,0.03,2.273
-1.3,0.04,2.266
-1.3,0.05,2.252
-1.29,-0.05,2.294
-1.29,-0.04,2.304
-1.29,-0.03,2.313
-1.29,-0.02,2.32
-1.29,-0.01,2.326
-1.29,0,2.331
-1.29,0.01,2.334
-1.29,0.02,2.335
-1.29,0.03,2.335
-1.29,0.04,2.334
-1.29,0.05,2.331
-1.28,-0.05,2.326
-1.28,-0.04,2.32
-1.28,-0.03,2.313
-1.28,-0.02,2.304
-1.28,-0.01,2.294
-1.28,0,2.338
-1.28,0.01,2.349
-1.28,0.02,2.358
-1.28,0.03,2.366
-1.28,0.04,2.373
-1.28,0.05,2.377
-1.27,-0.04,2.381
-1.27,-0.03,2.382
-1.27,-0.02,2.382
-1.27,-0.01,2.381
-1.27,0,2.377
-1.27,0.01,2.373
-1.27,0.02,2.366
-1.27,0.03,2.358
-1.27,0.04,2.349
-1.26,-0.03,2.338
-1.26,-0.02,2.365
-1.26,-0.01,2.379
-1.26,0,2.391
-1.26,0.01,2.402
-1.26,0.02,2.411
-1.26,0.03,2.418
-1.25,-0.07,2.424
-1.25,-0.06,2.429
-1.25,-0.02,2.431
-1.25,-0.01,2.432
-1.25,0,2.431
-1.25,0.01,2.429
-1.25,0.02,2.424
-1.25,0.06,2.418
-1.25,0.07,2.411
-1.24,-0.07,2.402
-1.24,-0.06,2.391
-1.24,-0.05,2.379
-1.24,-0.04,2.365
-1.24,-0.03,2.413
-1.24,-0.02,2.428
-1.24,-0.01,2.441
-1.24,0,2.452
-1.24,0.01,2.462
-1.24,0.02,2.47
-1.24,0.03,2.477
-1.24,0.04,2.481
-1.24,0.05,2.484
-1.24,0.06,2.485
-1.24,0.07,2.484
-1.23,-0.11,2.481
-1.23,-0.1,2.477
-1.23,-0.09,2.47
-1.23,-0.08,2.462
-1.23,-0.07,2.452
-1.23,-0.06,2.441
-1.23,-0.05,2.428
-1.23,-0.04,2.413
-1.23,-0.03,2.399
-1.23,-0.02,2.419
-1.23,-0.01,2.464
-1.23,0,2.48
-1.23,0.01,2.494
-1.23,0.02,2.506
-1.23,0.03,2.517
-1.23,0.04,2.525
-1.23,0.05,2.532
-1.23,0.06,2.537
-1.23,0.07,2.54
-1.23,0.08,2.541
-1.23,0.09,2.54
-1.23,0.1,2.537
-1.23,0.11,2.532
-1.22,-0.16,2.525
-1.22,-0.15,2.517
-1.22,-0.12,2.506
-1.22,-0.11,2.494
-1.22,-0.1,2.48
-1.22,-0.09,2.464
-1.22,-0.08,2.419
-1.22,-0.07,2.399
-1.22,-0.06,2.437
-1.22,-0.05,2.459
-1.22,-0.04,2.48
-1.22,-0.03,2.509
-1.22,-0.02,2.527
-1.22,-0.01,2.543
-1.22,0,2.557
-1.22,0.01,2.569
-1.22,0.02,2.58
-1.22,0.03,2.588
-1.22,0.04,2.595
-1.22,0.05,2.599
-1.22,0.06,2.601
-1.22,0.07,2.601
-1.22,0.08,2.599
-1.22,0.09,2.595
-1.22,0.1,2.588
-1.22,0.11,2.58
-1.22,0.12,2.569
-1.22,0.15,2.557
-1.22,0.16,2.543
-1.21,-0.16,2.527
-1.21,-0.15,2.509
-1.21,-0.13,2.48
-1.21,-0.12,2.459
-1.21,-0.11,2.437
-1.21,-0.1,2.489
-1.21,-0.09,2.513
-1.21,-0.08,2.535
-1.21,-0.07,2.566
-1.21,-0.06,2.585
-1.21,-0.05,2.602
-1.21,-0.04,2.618
-1.21,-0.03,2.631
-1.21,-0.02,2.642
-1.21,-0.01,2.652
-1.21,0,2.659
-1.21,0.01,2.663
-1.21,0.02,2.666
-1.21,0.03,2.666
-1.21,0.04,2.663
-1.21,0.05,2.659
-1.21,0.06,2.652
-1.21,0.07,2.642
-1.21,0.08,2.631
-1.21,0.09,2.618
-1.21,0.1,2.602
-1.21,0.11,2.585
-1.21,0.12,2.566
-1.21,0.13,2.535
-1.21,0.15,2.513
-1.21,0.16,2.489
-1.2,-0.15,2.557
-1.2,-0.14,2.582
-1.2,-0.13,2.605
-1.2,-0.12,2.627
-1.2,-0.11,2.648
-1.2,-0.1,2.666
-1.2,-0.09,2.683
-1.2,-0.08,2.698
-1.2,-0.07,2.71
-1.2,-0.06,2.72
-1.2,-0.05,2.727
-1.2,-0.04,2.733
-1.2,-0.03,2.735
-1.2,-0.02,2.735
-1.2,-0.01,2.733
-1.2,0,2.727
-1.2,0.01,2.72
-1.2,0.02,2.71
-1.2,0.03,2.698
-1.2,0.04,2.683
-1.2,0.05,2.666
-1.2,0.06,2.648
-1.2,0.07,2.627
-1.2,0.08,2.605
-1.2,0.09,2.582
-1.2,0.1,2.557
-1.2,0.11,2.588
-1.2,0.12,2.63
-1.2,0.13,2.656
-1.2,0.14,2.681
-1.2,0.15,2.704
-1.19,-0.16,2.726
-1.19,-0.15,2.745
-1.19,-0.14,2.762
-1.19,-0.13,2.777
-1.19,-0.12,2.789
-1.19,-0.11,2.798
-1.19,-0.1,2.805
-1.19,-0.09,2.81
-1.19,-0.08,2.811
-1.19,-0.07,2.81
-1.19,-0.06,2.805
-1.19,-0.05,2.798
-1.19,-0.04,2.789
-1.19,-0.03,2.777
-1.19,-0.02,2.762
-1.19,-0.01,2.745
-1.19,0,2.726
-1.19,0.01,2.704
-1.19,0.02,2.681
-1.19,0.03,2.656
-1.19,0.04,2.63
-1.19,0.05,2.588
-1.19,0.06,2.724
-1.19,0.07,2.751
-1.19,0.08,2.776
-1.19,0.09,2.799
-1.19,0.1,2.821
-1.19,0.11,2.839
-1.19,0.12,2.855
-1.19,0.13,2.869
-1.19,0.14,2.88
-1.19,0.15,2.887
-1.19,0.16,2.892
-1.18,-0.18,2.893
-1.18,-0.17,2.892
-1.18,-0.16,2.887
-1.18,-0.15,2.88
-1.18,-0.14,2.869
-1.18,-0.13,2.855
-1.18,-0.12,2.839
-1.18,-0.11,2.821
-1.18,-0.1,2.799
-1.18,-0.09,2.776
-1.18,-0.08,2.751
-1.18,-0.07,2.724
-1.18,-0.06,2.782
-1.18,-0.05,2.812
-1.18,-0.04,2.841
-1.18,-0.03,2.867
-1.18,-0.02,2.892
-1.18,-0.01,2.914
-1.18,0,2.933
-1.18,0.01,2.95
-1.18,0.02,2.963
-1.18,0.03,2.973
-1.18,0.04,2.98
-1.18,0.05,2.984
-1.18,0.06,2.984
-1.18,0.07,2.98
-1.18,0.08,2.973
-1.18,0.09,2.963
-1.18,0.1,2.95
-1.18,0.11,2.933
-1.18,0.12,2.914
-1.18,0.13,2.892
-1.18,0.14,2.867
-1.18,0.15,2.841
-1.18,0.16,2.812
-1.18,0.17,2.782
-1.18,0.18,2.876
-1.17,-0.19,2.909
-1.17,-0.18,2.94
-1.17,-0.17,2.968
-1.17,-0.16,2.994
-1.17,-0.15,3.017
-1.17,-0.14,3.037
-1.17,-0.13,3.054
-1.17,-0.12,3.067
-1.17,-0.11,3.077
-1.17,-0.1,3.083
-1.17,-0.09,3.085
-1.17,-0.08,3.083
-1.17,-0.07,3.077
-1.17,-0.06,3.067
